label,filename,title,source_url,license,license_url,artist,credit
warm_gold,warm_gold\warm_gold_001.jpg,"File:Horseback Riding at Sunset, Houlgate Beach.jpg","https://commons.wikimedia.org/wiki/File:Horseback_Riding_at_Sunset,_Houlgate_Beach.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Benjamin Bellamy,Own work
warm_gold,warm_gold\warm_gold_002.jpg,File:Human–canine friendship - girl hugging her dog tightly at golden hour in Laos.jpg,https://commons.wikimedia.org/wiki/File:Human%E2%80%93canine_friendship_-_girl_hugging_her_dog_tightly_at_golden_hour_in_Laos.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Basile Morin,Own work
warm_gold,warm_gold\warm_gold_003.jpg,File:Human–canine friendship - smiling girl hugging her dog at golden hour in Laos.jpg,https://commons.wikimedia.org/wiki/File:Human%E2%80%93canine_friendship_-_smiling_girl_hugging_her_dog_at_golden_hour_in_Laos.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Basile Morin,Own work
warm_gold,warm_gold\warm_gold_004.png,File:Jyothika Sahoo (portrait).png,https://commons.wikimedia.org/wiki/File:Jyothika_Sahoo_(portrait).png,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Jyothika Sahoo,https://www.flickr.com/photos/199844739@N08/55092538171/
warm_gold,warm_gold\warm_gold_005.jpg,File:Laughing boy at golden hour.jpg,https://commons.wikimedia.org/wiki/File:Laughing_boy_at_golden_hour.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Basile Morin,Own work
warm_gold,warm_gold\warm_gold_006.jpg,File:Young girl smiling in sunshine (2).jpg,https://commons.wikimedia.org/wiki/File:Young_girl_smiling_in_sunshine_(2).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Basile Morin,Own work
warm_gold,warm_gold\warm_gold_007.jpg,"File:Toledo Skyline Panorama, Spain - Dec 2006.jpg","https://commons.wikimedia.org/wiki/File:Toledo_Skyline_Panorama,_Spain_-_Dec_2006.jpg",CC BY 2.5,https://creativecommons.org/licenses/by/2.5,Diliff,Own work
warm_gold,warm_gold\warm_gold_008.jpg,File:ISS034E016601 - Stratocumulus Clouds - Pacific Ocean.jpg,https://commons.wikimedia.org/wiki/File:ISS034E016601_-_Stratocumulus_Clouds_-_Pacific_Ocean.jpg,Public domain,,"ISS Expedition 34 Crew Image Science & Analysis Laboratory, NASA Johnson Space Center Derivative work including grading, lens profile correction and noise removal.: Julian Herzog",Astronaut Photography of Earth - Display Record: ISS034-E-016601
vintage,vintage\vintage_001.jpg,"File:Chateraise Vintage Golf Club, Hokuto Yamanashi Aerial photograph.2007.jpg","https://commons.wikimedia.org/wiki/File:Chateraise_Vintage_Golf_Club,_Hokuto_Yamanashi_Aerial_photograph.2007.jpg",Attribution,,国土地理院,国土情報ウェブマッピングシステム
vintage,vintage\vintage_002.jpg,File:Goddess 1934 film poster.jpg,https://commons.wikimedia.org/wiki/File:Goddess_1934_film_poster.jpg,Public domain,,Lianhua Film Company,http://i.mtime.com/4020546/blog/7738431/
vintage,vintage\vintage_003.jpg,File:The Old Man and the Sea (1958 film).jpg,https://commons.wikimedia.org/wiki/File:The_Old_Man_and_the_Sea_(1958_film).jpg,Public domain,,Bill Gold,http://cornucopia.theiapolis.com/goodies/du6cr/the-old-man-and-the-sea.html
vintage,vintage\vintage_004.jpg,"File:A Jicarilla Man, 1904, Edward S. Curtis (sepia restored).jpg","https://commons.wikimedia.org/wiki/File:A_Jicarilla_Man,_1904,_Edward_S._Curtis_(sepia_restored).jpg",Public domain,,Edward S. Curtis,"This file was derived from: A Jicarilla Man, 1904, Edward S. Curtis (sepia).jpg : derivative work: Keraunoscopia , 22 February 2013"
vintage,vintage\vintage_005.jpg,File:Montenegro postage due sepia 5 para.jpg,https://commons.wikimedia.org/wiki/File:Montenegro_postage_due_sepia_5_para.jpg,Public domain,,Scanned by RokTheCroat,Scan of the original from personal collection
vintage,vintage\vintage_006.jpg,File:Cafe Retro on York Street - geograph.org.uk - 2063603.jpg,https://commons.wikimedia.org/wiki/File:Cafe_Retro_on_York_Street_-_geograph.org.uk_-_2063603.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Steve Daniels,Geograph Britain and Ireland
